ricoId,label
rico:hasOrHadMostMembersWithCreationDate,inclut ou a inclus des membres dont la plupart ont pour date de création
rico:hasOrHadName,a ou a eu pour nom
rico:hasOrHadOccupationOfType,a ou a eu pour type d’occupation
rico:hasOrHadOwner,a ou a eu pour propriétaire
rico:hasOrHadPart,a ou a eu pour partie
rico:hasOrHadParticipant,a ou a eu pour participant
rico:hasOrHadPhysicalLocation,a ou a eu pour localisation physique
rico:hasOrHadPlaceName,a ou a eu pour nom de lieu
rico:hasOrHadPlaceType,a ou a eu pour type de lieu
rico:hasOrHadPosition,occupe ou a occupé le poste
rico:hasOrHadRuleType,a ou a eu pour type de règle
rico:hasOrHadSomeMembersWhoseContentMainlyRepresents,inclut ou a inclus des membres dont le contenu représente principalement
rico:hasOrHadSomeMembersWhoseContentRepresents,inclut ou a inclus des membres dont le contenu représente
rico:hasOrHadSomeMembersWithAccumulationDate,inclut ou a inclus des membres ayant pour date d'accumulation
rico:hasOrHadSomeMembersWithContentType,inclut ou a inclus des membres ayant pour type de contenu
rico:hasOrHadSomeMembersWithCreationDate,inclut ou a inclus des membres ayant pour date de création
rico:hasOrHadSomeMembersWithDocumentaryFormType,inclut ou a inclus des membres ayant pour type de document
rico:hasOrHadSomeMembersWithLanguage,inclut ou a inclus des membres ayant pour langue
rico:hasOrHadSomeMembersWithLegalStatus,inclut ou a inclus des membres ayant pour statut légal
rico:hasOrHadSomeMembersWithMainSubject,inclut ou a inclus des membres ayant pour sujet principal
rico:hasOrHadSomeMembersWithRecordState,inclut ou a inclus des membres ayant pour état
rico:hasOrHadSomeMembersWithSubject,inclut ou a inclus des membres ayant pour sujet
rico:hasOrHadSomeMembersWithType,inclut ou a inclus des membres ayant pour type
rico:hasOrHadSpouse,a ou a eu pour conjoint
rico:hasOrHadStudent,a ou a eu pour étudiant
rico:hasOrHadSubdivision,a ou a eu pour subdivision
rico:hasOrHadSubevent,est ou a été constitué de l’événement
rico:hasOrHadSubject,a ou a eu pour sujet
rico:hasOrHadSubordinate,a ou a eu pour subalterne
rico:hasOrHadTeacher,a ou a eu pour enseignant
rico:hasOrHadTitle,a ou a eu pour intitulé
rico:hasOrHadType,a ou a eu pour type
