ricoId,Label
rico:followsInSequenceTransitive,Suit dans la séquence transitif
rico:followsInTime,Suit dans le temps
rico:followsOrFollowed,Suit ou a suivi
rico:followsProxyInSequence,Suit le proxy dans la séquence
rico:functionalEquivalenceRelation_role,A le rôle de la Relation d’équivalence fonctionnelle
rico:groupSubdivisionRelation_role,A le rôle de la Relation de subdivision entre groupes d’agents
rico:hadComponent,A eu pour composant
rico:hadConstituent,A eu pour constituant
rico:hadPart,A eu pour partie
rico:hadSubdivision,A eu pour subdivision
rico:hadSubevent,A été constitué de l’événement
rico:hadSubordinate,A eu pour subalterne
rico:hasAccumulationDate,A pour date d'accumulation
rico:hasAccumulator,Est accumulé par
rico:hasActivityType,A pour type d’activité
rico:hasAddressee,A pour destinataire
rico:hasAncestor,A pour ancêtre
rico:hasAuthor,A pour responsable intellectuel
rico:hasBeginningDate,A pour date de début
rico:hasBirthDate,A pour date de naissance
rico:hasBirthPlace,A pour lieu de naissance
rico:hasCarrierType,A pour type de support
rico:hasChild,A pour enfant
rico:hasCollector,Est collecté par
rico:hasComponentTransitive,A pour composant transitif
rico:hasConstituentProxy,A pour constituant le proxy
rico:hasConstituentTransitive,A pour constituant transitif
rico:hasContentOfType,A pour type de contenu
rico:hasContentWhichMainlyRepresents,A un contenu qui représente principalement
rico:hasContentWhichRepresents,A un contenu qui représente
rico:hasCopy,A pour copie
rico:hasCreationDate,A pour date de création
rico:hasCreator,A pour créateur
rico:hasDateType,A pour type de date
rico:hasDeathDate,A pour date de décès
rico:hasDeathPlace,A pour lieu de décès
rico:hasDerivationDate,A pour date de dérivation
rico:hasDescendant,A pour descendant
rico:hasDestructionDate,A pour date de destruction
rico:hasDirectComponent,A directement pour composant
rico:hasDirectConstituent,A directement pour constituant
rico:hasDirectConstituentProxy,A pour constituant direct le proxy
rico:hasDirectPart,A directement pour partie
rico:hasDirectSubdivision,A directement pour subdivision
rico:hasDirectSubevent,Est directement constitué de l’événement
rico:hasDirectSubordinate,A directement pour subalterne
rico:hasDocumentaryFormType,A pour type d’objet informationnel
rico:hasDraft,A pour ébauche
rico:hasEndDate,A pour date de fin
rico:hasEventType,A pour type d’événement
rico:hasExtent,A pour dimension
rico:hasExtentType,A pour type de mesure
rico:hasFamilyAssociationWith,A une relation familiale avec
rico:hasFamilyType,A pour type de famille
rico:hasGeneticLinkToRecordResource,A une relation génétique avec la ressource archivistique
rico:hasIdentifierType,A pour type d’identifiant
rico:hasMigrationDate,A pour date de migration
rico:hasModificationDate,A pour date de modification
rico:hasOrHadAgentName,A ou a eu pour nom
rico:hasOrHadAllMembersWithAccumulationDate,Inclut ou a inclus des membres ayant tous pour date d'accumulation
rico:hasOrHadAllMembersWithContentType,Inclut ou a inclus des membres ayant tous pour type de contenu
rico:hasOrHadAllMembersWithCreationDate,Inclut ou a inclus des membres ayant tous pour date de création
rico:hasOrHadAllMembersWithDocumentaryFormType,Inclut ou a inclus des membres ayant tous pour type
rico:hasOrHadAllMembersWithLanguage,Inclut ou a inclus des membres ayant tous pour langue
rico:hasOrHadAllMembersWithLegalStatus,Inclut ou a inclus des membres ayant tous pour statut légal
rico:hasOrHadAllMembersWithMainSubject,Inclut ou a inclus des membres ayant tous pour principal sujet
rico:hasOrHadAllMembersWithRecordState,Inclut ou a inclus des membres ayant tous pour état
rico:hasOrHadAllMembersWithSubject,Inclut ou a inclus des membres ayant tous pour sujet
rico:hasOrHadAllMembersWithType,Inclut ou a inclus des membres ayant tous pour type
rico:hasOrHadAnalogueInstantiation,A ou a eu pour instanciation analogique
rico:hasOrHadAppellation,A ou a eu pour appellation
rico:hasOrHadAuthorityOver,A ou a eu autorité sur
rico:hasOrHadComponent,A ou a eu pour composant
rico:hasOrHadConstituent,A ou a eu pour constituant
rico:hasOrHadController,Est ou a été contrôlé par
rico:hasOrHadCoordinates,A ou a eu pour coordonnées
rico:hasOrHadCorporateBodyType,A ou a eu pour type de collectivité
rico:hasOrHadCorrespondent,A ou a eu pour correspondant
rico:hasOrHadDemographicGroup,A ou a eu pour groupe démographique
rico:hasOrHadDerivedInstantiation,A ou a eu pour instanciation dérivée
rico:hasOrHadDigitalInstantiation,A ou a eu pour instanciation numérique
rico:hasOrHadEmployer,A ou a eu pour employeur
rico:hasOrHadHolder,Est ou a été détenu par
rico:hasOrHadIdentifier,Identifiant
rico:hasOrHadInstantiation,A ou a eu pour instanciation
rico:hasOrHadIntellectualPropertyRightsHolder,A ou a eu comme détenteur des droits de propriété intellectuelle
rico:hasOrHadJurisdiction,A ou a eu pour ressort
rico:hasOrHadLanguage,Langue
rico:hasOrHadLeader,A ou a eu pour dirigeant
rico:hasOrHadLegalStatus,A ou a eu pour statut légal
rico:hasOrHadLocation,A ou avait pour localisation
rico:hasOrHadMainSubject,A ou a eu pour sujet principal
rico:hasOrHadManager,A ou a eu pour gestionnaire
rico:hasOrHadMandateType,A ou a eu pour type de mandat
rico:hasOrHadMember,A ou a eu pour membre
rico:hasOrHadMostMembersWithAccumulationDate,Inclut ou a inclus des membres dont la plupart ont pour date d'accumulation
rico:hasOrHadMostMembersWithCreationDate,Inclut ou a inclus des membres dont la plupart ont pour date de création
rico:hasOrHadName,A ou a eu pour nom
rico:hasOrHadOccupationOfType,A ou a eu pour type d’occupation
rico:hasOrHadOwner,A ou a eu pour propriétaire
rico:hasOrHadPart,A ou a eu pour partie
rico:hasOrHadParticipant,A ou a eu pour participant
rico:hasOrHadPhysicalLocation,A ou avait pour localisation physique
rico:hasOrHadPlaceName,A ou avait pour nom
rico:hasOrHadPlaceType,Type de lieu
rico:hasOrHadPosition,Occupe ou a occupé le poste
rico:hasOrHadRuleType,A ou a eu pour type de règle
rico:hasOrHadSomeMembersWhoseContentMainlyRepresents,Inclut ou a inclus des membres dont le contenu représente principalement
rico:hasOrHadSomeMembersWhoseContentRepresents,Inclut ou a inclus des membres dont le contenu représente
rico:hasOrHadSomeMembersWithAccumulationDate,Inclut ou a inclus des membres ayant pour date d'accumulation
rico:hasOrHadSomeMembersWithContentType,Inclut ou a inclus des membres ayant pour type de contenu
rico:hasOrHadSomeMembersWithCreationDate,Inclut ou a inclus des membres ayant pour date de création
rico:hasOrHadSomeMembersWithDocumentaryFormType,Inclut ou a inclus des membres ayant pour type de document
rico:hasOrHadSomeMembersWithLanguage,Inclut ou a inclus des membres ayant pour langue
rico:hasOrHadSomeMembersWithLegalStatus,Inclut ou a inclus des membres ayant pour statut légal
rico:hasOrHadSomeMembersWithMainSubject,Inclut ou a inclus des membres ayant pour sujet principal
rico:hasOrHadSomeMembersWithRecordState,Inclut ou a inclus des membres ayant pour état
rico:hasOrHadSomeMembersWithSubject,Inclut ou a inclus des membres ayant pour sujet
rico:hasOrHadSomeMembersWithType,Inclut ou a inclus des membres ayant pour type
rico:hasOrHadSpouse,A ou a eu pour conjoint
rico:hasOrHadStudent,A ou a eu pour étudiant
rico:hasOrHadSubdivision,A ou a eu pour subdivision
rico:hasOrHadSubevent,Est ou a été constitué de l’événement
rico:hasOrHadSubject,A ou a eu pour sujet
rico:hasOrHadSubordinate,A ou a eu pour subalterne
rico:hasOrHadTeacher,A ou a eu pour enseignant
rico:hasOrHadTitle,A ou a eu pour intitulé
rico:hasOrHadType,A ou a eu pour type
rico:hasOrHadWorkRelationWith,A ou a eu une relation professionnelle avec
rico:hasOrganicOrFunctionalProvenance,A pour provenance organique ou fonctionnelle
rico:hasOrganicProvenance,A pour provenance organique
rico:hasOrganicProvenanceDate,A pour date de provenance organique
rico:hasOriginal,A pour original
rico:hasPartTransitive,A pour partie transitif
rico:hasProductionTechniqueType,A pour type de technique de production
rico:hasProxy,A pour proxy
rico:hasPublicationDate,A pour date de publication
rico:hasPublisher,A pour éditeur
rico:hasReceiver,Est reçu par
rico:hasRecordSetType,A pour type d’ensemble d’objets informationnels
rico:hasRecordState,A pour état
rico:hasReply,A pour réponse
rico:hasRepresentationType,A pour type de représentation
rico:hasSender,A pour expéditeur
rico:hasSibling,A pour frère ou sœur
rico:hasSubdivisionTransitive,A pour subdivision transitif
rico:hasSubeventTransitive,Est constitué de l’événement transitif
rico:hasSubordinateTransitive,A pour subalterne transitif
rico:hasSuccessor,A pour successeur
rico:hasTitleType,A pour type de titre
rico:hasUnitOfMeasurement,A pour unité de mesure
rico:hasWithin,Contient
rico:included,A inclus
rico:includesOrIncluded,Inclut ou a inclus
rico:includesProxy,Inclut le proxy
rico:includesTransitive,Inclut transitif
rico:instantiationToInstantiationRelation_role,A le rôle de la Relation entre instanciations
rico:intellectualPropertyRightsRelation_role,A le rôle de la Relation de propriété intellectuelle
rico:intersects,Intersecte
rico:isAccumulationDateOf,Est la date d'accumulation de
rico:isAccumulatorOf,Accumule
rico:isActivityTypeOf,Est le type d’activité de
rico:isAddresseeOf,Est le destinataire de
rico:isAgentAssociatedWithAgent,Est associé à l’agent
rico:isAgentAssociatedWithPlace,Est associé au lieu
rico:isAssociatedWithDate,Est associé à la date
rico:isAssociatedWithEvent,Est associé à l’événement
rico:isAssociatedWithPlace,Est associé au lieu
rico:isAssociatedWithRule,Est associé à la règle
rico:isAuthorOf,Est le responsable intellectuel de
rico:isAuthorizingAgentInMandateRelation,Est l’agent donnant l’autorisation dans la relation impliquant un mandat
rico:isBeginningDateOf,Est la date de début de
rico:isBirthDateOf,Est la date de naissance de
rico:isBirthPlaceOf,Est le lieu de naissance de
rico:isCarrierTypeOf,Est le type de support de
rico:isChildOf,Est l’enfant de
rico:isCollectorOf,Collecte
rico:isComponentOfTransitive,Est un composant de transitif
rico:isConstituentOfProxy,Est le constituant du proxy
rico:isConstituentOfTransitive,Est le constituant de transitif
rico:isContainedByTransitive,Est inclus dans (transitif)
rico:isContentTypeOf,Est le type de contenu de
rico:isCopyOf,Est la copie de
rico:isCreationDateOf,Est la date de création de
rico:isCreatorOf,Est le créateur de
rico:isDateAssociatedWith,Est une date associée a
rico:isDateAssociatedWithRelation,Est une date associée à la relation
rico:isDateOfOccurrenceOf,Est la date d'occurrence de
rico:isDateTypeOf,Est le type de date de
rico:isDeathDateOf,Est la date de décès de
rico:isDeathPlaceOf,Est le lieu de décès de
rico:isDerivationDateOf,Est la date de dérivation de
rico:isDestructionDateOf,Est la date de destruction de
rico:isDirectComponentOf,Est le composant direct de
rico:isDirectConstituentOf,Est un constituant direct de
rico:isDirectConstituentOfProxy,Est un constituant direct du proxy
rico:isDirectPartOf,Fait directement partie de
rico:isDirectSubdivisionOf,Est la subdivision directe de
rico:isDirectSubeventOf,Est un événement constituant directement l’événement
rico:isDirectSubordinateTo,Est directement subalterne de
rico:isDirectlyContainedBy,Est directement inclus dans
rico:isDirectlyIncludedIn,Est directement inclus dans
rico:isDirectlyIncludedInProxy,Est directement inclus dans le proxy
rico:isDocumentaryFormTypeOf,Est le type de document de
rico:isDraftOf,Est l’ébauche de
rico:isEndDateOf,Est la date de fin de
rico:isEquivalentTo,Est l’équivalent de
rico:isEventAssociatedWith,Est un événement associé a
rico:isEventTypeOf,Est le type d’événement de
rico:isEvidencedBy,Est attestée par
rico:isExtentOf,Est une dimension de
